Names,ProblemIds,ProblemUrls,Source
"Pow(x, n)",/problems/powx-n,https://leetcode.com/problems/powx-n,Leetcode
Sudoku Solver,/problems/sudoku-solver,https://leetcode.com/problems/sudoku-solver,Leetcode
Wildcard Matching,/problems/wildcard-matching,https://leetcode.com/problems/wildcard-matching,Leetcode
Chocolate Monger,CM164364,https://www.codechef.com/problems/CM164364,CodeChef
Chef and his Students,CHEFSTUD,https://www.codechef.com/problems/CHEFSTUD,CodeChef
Three Friends,THREEFR,https://www.codechef.com/problems/THREEFR,CodeChef
Good Joke!,RRJOKE,https://www.codechef.com/problems/RRJOKE,CodeChef
